date,forecast_temperature_2m_max,forecast_temperature_2m_min,forecast_temperature_2m_mean,forecast_precipitation_sum,forecast_wind_speed_10m_max,actual_temperature_2m_max,actual_temperature_2m_min,actual_temperature_2m_mean,actual_precipitation_sum,actual_wind_speed_10m_max,error_temperature_2m_max,abs_error_temperature_2m_max,error_temperature_2m_min,abs_error_temperature_2m_min,error_temperature_2m_mean,abs_error_temperature_2m_mean,error_precipitation_sum,abs_error_precipitation_sum,error_wind_speed_10m_max,abs_error_wind_speed_10m_max
2025-06-07,22.331,16.831,18.947666,3.2000003,15.119999,23.9,15.85,19.356249,6.7999997,16.74387,-1.5690002,1.5690002,0.980999,0.980999,-0.4085827,0.4085827,-3.5999994,3.5999994,-1.6238708,1.6238708
2025-06-08,20.630999,16.031,18.37058,0.0,18.72,22.15,14.6,17.8375,3.2,15.779543,-1.519001,1.519001,1.4309998,1.4309998,0.53308105,0.53308105,-3.2,3.2,2.9404564,2.9404564
2025-06-09,16.630999,11.3810005,13.697667,4.0,26.64,17.05,10.7,14.14375,1.6,25.027767,-0.41900063,0.41900063,0.6810007,0.6810007,-0.44608307,0.44608307,2.4,2.4,1.6122322,1.6122322
2025-06-10,20.130999,9.431001,15.580997,2.8,15.4800005,20.45,7.85,15.097915,2.1000001,14.799459,-0.31900215,0.31900215,1.5810008,1.5810008,0.48308277,0.48308277,0.6999998,0.6999998,0.68054104,0.68054104
2025-06-11,20.331,13.6310005,15.651834,7.5,24.119999,19.65,12.8,15.602084,3.4999998,21.771072,0.68099976,0.68099976,0.8310003,0.8310003,0.049749374,0.049749374,4.0,4.0,2.3489265,2.3489265
2025-06-12,19.380999,10.8810005,15.137252,0.0,19.8,18.7,9.45,14.450001,0.0,22.075516,0.68099785,0.68099785,1.4310007,1.4310007,0.6872511,0.6872511,0.0,0.0,-2.2755165,2.2755165
2025-06-13,21.181,10.681001,15.935165,0.0,16.56,20.25,9.35,15.266665,0.1,14.687382,0.93099976,0.93099976,1.3310003,1.3310003,0.66849995,0.66849995,-0.1,0.1,1.8726177,1.8726177
2025-06-14,23.480999,12.331,18.770582,0.0,11.5199995,23.65,10.85,17.952082,0.0,9.257321,-0.16900063,0.16900063,1.481,1.481,0.8185005,0.8185005,0.0,0.0,2.2626781,2.2626781
2025-06-15,27.431,15.681001,22.056,0.0,9.72,27.6,12.6,21.354166,0.0,8.825508,-0.16900063,0.16900063,3.0810003,3.0810003,0.7018337,0.7018337,0.0,0.0,0.89449215,0.89449215
2025-06-16,28.730999,16.331,21.143497,0.5,22.319998,29.4,15.25,20.947916,7.7999997,19.759048,-0.6690006,0.6690006,1.0809994,1.0809994,0.19558144,0.19558144,-7.2999997,7.2999997,2.5609493,2.5609493
